,0
0,1.7911347150802612
1,1.8301477432250977
2,1.8097312450408936
3,1.787336826324463
4,1.8044102191925049
5,1.8067556619644165
6,1.801990032196045
7,1.8415241241455078
8,1.8027565479278564
9,1.8016633987426758
10,1.7980029582977295
11,1.8041311502456665
12,1.797787070274353
13,1.792346477508545
14,1.735181212425232
15,1.7900564670562744
16,1.7708240747451782
17,1.7863919734954834
18,1.7914575338363647
19,1.786084532737732
20,1.8014206886291504
21,1.7831987142562866
22,1.8003671169281006
23,1.8001832962036133
24,1.7572815418243408
25,1.7547193765640259
26,1.7992236614227295
27,1.8876802921295166
28,1.779167890548706
29,1.745529055595398
30,1.7772610187530518
31,1.7603269815444946
32,1.7535984516143799
33,1.7303489446640015
34,1.742318034172058
35,1.7534834146499634
36,1.7480164766311646
37,1.7389934062957764
38,1.7814431190490723
39,1.7185468673706055
40,1.6388124227523804
41,1.636484980583191
42,1.6146560907363892
43,1.659773349761963
44,1.7451045513153076
45,1.496728539466858
46,1.539863109588623
47,1.5369211435317993
48,1.5283448696136475
49,1.5140025615692139
50,1.4561599493026733
51,1.714116096496582
52,1.572563886642456
53,1.4740419387817383
54,1.5744843482971191
55,1.572829246520996
56,1.417823076248169
57,1.6941581964492798
58,1.7035675048828125
59,1.4736847877502441
60,1.7148312330245972
61,1.377800703048706
62,1.7246780395507812
63,1.5601832866668701
64,1.7028207778930664
65,1.6987519264221191
66,1.6922450065612793
67,1.4699828624725342
68,1.6980116367340088
69,1.4547395706176758
70,1.4548872709274292
71,1.5561082363128662
72,1.4525227546691895
73,1.5126745700836182
74,1.5777430534362793
75,2.459029197692871
76,1.4469218254089355
77,2.4485883712768555
78,1.434936285018921
79,1.4258737564086914
80,1.4349225759506226
81,1.420882225036621
82,1.4255727529525757
83,1.665135145187378
84,1.5372238159179688
85,2.9244561195373535
86,1.543399453163147
87,1.3793855905532837
88,1.5456959009170532
89,1.4103119373321533
90,1.4119958877563477
91,1.3815635442733765
92,1.4996891021728516
93,1.648945689201355
94,2.1123130321502686
95,2.098252773284912
96,1.5181174278259277
97,1.3669366836547852
98,1.712705373764038
99,1.4256129264831543
100,1.6959623098373413
101,1.417292594909668
102,1.3097909688949585
103,2.157435417175293
104,1.4168641567230225
105,1.4531042575836182
106,1.329201102256775
107,1.7041525840759277
108,1.4403218030929565
109,1.6068941354751587
110,1.6215311288833618
111,1.3092143535614014
112,1.2973500490188599
113,1.6632739305496216
114,1.2910369634628296
115,2.115111827850342
116,1.6571404933929443
117,2.3148350715637207
118,1.4412379264831543
119,1.6630816459655762
120,1.2656095027923584
121,1.6564478874206543
122,1.2517284154891968
123,1.4423389434814453
124,1.688963532447815
125,1.4521801471710205
126,1.4245903491973877
127,1.6901171207427979
128,2.081756114959717
129,1.43930983543396
130,1.6443002223968506
131,1.4368149042129517
132,2.0699985027313232
133,1.9464478492736816
134,1.2519203424453735
135,1.2465343475341797
136,1.705782175064087
137,1.666451096534729
138,1.3922293186187744
139,1.4659385681152344
140,1.267205834388733
