,0
0,1.7460680451035626
1,1.6713260646354813
2,1.665081434038398
3,1.657836572421516
4,1.6879388403615578
5,1.716793123117344
6,1.7833162680850487
7,1.710610462216918
8,1.6788030731892007
9,1.7641863237590447
10,1.8541610253524377
11,1.7119308533864892
12,1.8696608448355856
13,2.0487494348472626
14,2.2545843157118703
15,2.2325069184288178
16,2.8117808870805985
17,3.110776323891995
18,3.2401102576739182
19,3.4318559610667423
20,3.2469892507967755
21,4.167846178177669
22,4.441286998603261
23,4.614741803254094
24,3.9271303820556547
25,5.351387364370896
26,5.229620425555749
27,5.067744793325128
28,4.762474653182243
29,5.01986666361643
30,6.294688835535533
31,6.370789852225416
32,5.0397989428262875
33,5.7213669558898514
34,6.66414368486203
35,6.42999710047415
36,6.513826453202692
37,6.221140185430048
38,5.686243075786951
39,7.463336565395092
40,5.724030580162144
41,5.327417414399393
42,5.430217024432584
43,4.737187856066296
44,7.469826911848506
45,6.422486911483557
46,7.576707364961804
47,6.955120529630344
48,7.001145998915852
49,6.370097148443111
50,7.367597553868205
51,8.216190642707735
52,8.669007341673455
53,8.843126794691134
54,8.756113203814786
55,6.19079722703824
56,6.378768276551801
57,8.673672223135183
58,6.626135076784382
59,9.045147791165572
60,6.898439467002081
61,6.948797109619682
62,7.961738218133925
63,7.270233382681978
64,6.878909431711388
65,9.336944302650702
66,7.902315999081785
67,5.56526267655761
68,7.33612003374032
69,5.906790148575189
70,8.31414257227163
71,6.8500270456878525
72,7.7302413854168766
73,6.034385287704944
74,8.08740501019611
75,8.825198390154037
76,7.738894171849923
77,8.821718146871095
78,8.447890879734961
79,8.10747573421796
80,7.5447206640128766
81,7.206313912187326
82,6.675165736716217
83,7.476769014893895
84,7.093851341596647
85,9.380818797993953
86,7.148021091344528
87,7.543826099274518
88,7.865553562594846
89,8.283902759305173
90,8.511110634542757
91,7.751762395584452
92,6.633587241450414
93,8.6193981238327
94,9.040511272790122
95,8.802171197789205
96,6.586633378670005
97,8.788580594072831
98,8.69915577625174
99,7.82459709939463
