,0
0,0.7771911298838438
1,0.8310454065469906
2,0.8680042238648363
3,0.8521647307286166
4,0.8753959873284055
5,0.8933474128827877
6,0.9049630411826821
7,0.9039070749736009
8,0.9229144667370645
9,0.9060190073917634
10,0.925026399155227
11,0.9324181626187962
12,0.9260823653643083
13,0.9345300950369588
14,0.9186906019007391
15,0.9292502639915523
16,0.9376979936642027
17,0.9292502639915523
18,0.9313621964097148
19,0.9461457233368532
20,0.9334741288278775
21,0.9408658922914467
22,0.9493136219640972
23,0.9398099260823654
24,0.9408658922914467
25,0.941921858500528
26,0.9567053854276664
27,0.9429778247096093
28,0.9493136219640972
29,0.9535374868004224
30,0.9545934530095037
31,0.9630411826821542
32,0.9567053854276664
33,0.955649419218585
34,0.9598732840549102
35,0.9619852164730729
36,0.9651531151003168
37,0.9514255543822597
38,0.955649419218585
39,0.9746568109820486
40,0.9725448785638859
41,0.9461457233368532
42,0.9588173178458289
43,0.9672650475184794
44,0.9630411826821542
45,0.9693769799366421
46,0.9640971488912354
47,0.9693769799366421
48,0.9545934530095037
49,0.9598732840549102
50,0.9662090813093981
51,0.9725448785638859
52,0.9736008447729673
53,0.9778247096092925
54,0.9683210137275607
55,0.9788806758183738
56,0.9746568109820486
57,0.9757127771911299
58,0.9725448785638859
59,0.9736008447729673
60,0.9662090813093981
61,0.9746568109820486
62,0.9767687434002112
63,0.9714889123548046
64,0.9651531151003168
65,0.9746568109820486
66,0.9788806758183738
67,0.9746568109820486
68,0.9704329461457233
69,0.9746568109820486
70,0.9577613516367476
71,0.9767687434002112
72,0.9662090813093981
73,0.9767687434002112
74,0.9799366420274551
75,0.9693769799366421
76,0.9767687434002112
77,0.9630411826821542
78,0.9704329461457233
79,0.9725448785638859
80,0.9693769799366421
81,0.9725448785638859
82,0.9662090813093981
83,0.9778247096092925
84,0.9736008447729673
85,0.9778247096092925
86,0.9778247096092925
87,0.9672650475184794
88,0.9736008447729673
89,0.9704329461457233
90,0.9767687434002112
91,0.9714889123548046
92,0.9767687434002112
93,0.9831045406546991
94,0.9704329461457233
95,0.9788806758183738
96,0.9746568109820486
97,0.9788806758183738
98,0.9809926082365364
99,0.9767687434002112
