,0
0,0.5763888888888888
1,0.6180555555555556
2,0.7152777777777778
3,0.7569444444444444
4,0.7569444444444444
5,0.7916666666666666
6,0.7916666666666666
7,0.7986111111111112
8,0.8472222222222222
9,0.8472222222222222
10,0.7847222222222222
11,0.8333333333333334
12,0.8541666666666666
13,0.8888888888888888
14,0.8680555555555556
15,0.9027777777777778
16,0.8472222222222222
17,0.8680555555555556
18,0.8611111111111112
19,0.9027777777777778
20,0.9027777777777778
21,0.8888888888888888
22,0.8680555555555556
23,0.875
24,0.8680555555555556
25,0.8958333333333334
26,0.9027777777777778
27,0.9027777777777778
28,0.875
29,0.9097222222222222
30,0.9027777777777778
31,0.8958333333333334
32,0.9166666666666666
33,0.8888888888888888
34,0.8888888888888888
35,0.9097222222222222
36,0.9027777777777778
37,0.9236111111111112
38,0.9097222222222222
39,0.9305555555555556
40,0.9097222222222222
41,0.9027777777777778
42,0.8888888888888888
43,0.9097222222222222
44,0.9305555555555556
45,0.8958333333333334
46,0.9027777777777778
47,0.9444444444444444
48,0.9236111111111112
49,0.9236111111111112
50,0.8958333333333334
51,0.9236111111111112
52,0.9027777777777778
53,0.9513888888888888
54,0.9166666666666666
55,0.9027777777777778
56,0.9027777777777778
57,0.9305555555555556
58,0.9305555555555556
59,0.9444444444444444
60,0.9166666666666666
61,0.9166666666666666
62,0.9305555555555556
63,0.9236111111111112
64,0.9444444444444444
65,0.9305555555555556
66,0.9652777777777778
67,0.9236111111111112
68,0.9097222222222222
69,0.9097222222222222
70,0.9444444444444444
71,0.9375
72,0.9375
73,0.9305555555555556
74,0.9097222222222222
75,0.9305555555555556
76,0.9236111111111112
77,0.9305555555555556
78,0.9305555555555556
79,0.9444444444444444
80,0.9444444444444444
81,0.9305555555555556
82,0.9375
83,0.9513888888888888
84,0.9444444444444444
85,0.9444444444444444
86,0.9305555555555556
87,0.9513888888888888
88,0.9444444444444444
89,0.9444444444444444
90,0.9027777777777778
91,0.9236111111111112
92,0.9166666666666666
93,0.9305555555555556
94,0.9305555555555556
95,0.9513888888888888
96,0.9305555555555556
97,0.9513888888888888
98,0.9375
99,0.9513888888888888
